province,month,MinRain,MaxRain,AvgRain,AvgFloodRiskArea(Square meter),flooding,,,,
Nakhon Si Thammarat,8,56.1,221.8,118.49,32041150.66,0,,,,
Krabi,8,150.1,259.5,228.97,52404960.23,0,,,,
Phang Nga,8,221.7,321.4,273.67,33275572.12,0,,,,
Phuket,8,262.1,289,277,10355271.89,0,,,,
Surat Thani,8,45.5,374.6,133.55,28894275.72,0,,,,
Ranong,8,109.9,602.9,343.29,16694201.37,0,,,,
Chumphon,8,66.7,538.8,178.96,45488917.1,0,,,,
Songkhla,8,30.7,258.1,104.58,32478516.22,0,,,,
Satun,8,138.1,432.3,266.24,31545130.42,0,,,,
Trang,8,137.1,290,236.21,29424386.51,0,,,,
Phatthalung,8,25.5,218.3,91.33,26289445.11,0,,,,
Pattani,8,123.6,171.7,142.54,7694062.52,0,,,,
Yala,8,127.3,175.1,155.43,15713876.02,0,,,,
Narathiwat,8,150,170.5,160.56,22184404.17,0,,,,
Lopburi,9,191.31,414.4,268.02,8722670.03,0,,,,
Chainat,9,195.66,242.44,220.34,23682656.7,0,,,,
Saraburi,9,196.92,555.74,300.2,2923294.87,0,,,,
Chonburi,9,35.09,279.7,186.64,11319017.89,0,,,,
Rayong,9,120.3,374.31,194.38,15922802.72,0,,,,
Chanthaburi,9,275.01,539.79,438.81,18460418.16,0,,,,
Chachoengsao,9,234.41,453.12,309.02,9174664.91,0,,,,
Prachinburi,9,344.54,775.82,455.3,21851777.16,0,,,,
Nakhon Nayok,9,252.22,813.01,517.43,11773961.86,0,,,,
Sa Kaeo,9,253.36,415.69,348.72,37193369.19,0,,,,
Nakhon Ratchasima,9,146.09,793.25,271.53,22767984.2,0,,,,
Buriram,9,170.11,364.6,246.95,14055806.19,0,,,,
Surin,9,246.83,369.2,283.85,13958581.75,0,,,,
Sisaket,9,293.11,494.27,368.9,14810896.18,0,,,,
Ubon Ratchathani,9,392.76,558.93,474.64,20630426.33,0,,,,
Yasothon,9,380.16,608.74,469.44,6286209.15,0,,,,
Chaiyaphum,9,217.57,363.82,310.84,29713290.43,0,,,,
Bueng Kan,9,485.84,633.29,565.3,70155.12,0,,,,
Nong Bua Lamphu,9,306.41,350.63,326.42,30419695.72,0,,,,
Khon Kaen,9,317.66,428.05,355.98,16875137.96,0,,,,
Udon Thani,9,299.71,456.32,343.6,17186879.75,0,,,,
Loei,9,288.1,396.13,345.24,13529579.56,1,,,,
Nong Khai,9,293.51,573.94,368.37,21599891.95,0,,,,
Maha Sarakham,9,289.76,421.68,357.84,13016655.59,0,,,,
Roi Et,9,304.63,526.65,407.55,14669883.22,0,,,,
Kalasin,9,338.36,520.93,409.68,11208279.07,1,,,,
Sakon Nakhon,9,361.74,572.69,481.04,86.5,0,,,,
Chiang Mai,9,299.34,522.77,378.35,20264146.45,0,,,,
Lamphun,9,303.02,517.14,393.92,5004568.22,1,,,,
Lampang,9,243.33,559.34,390.48,8599406.57,0,,,,
Uttaradit,9,284.66,537.25,433.24,16085958.93,0,,,,
Phrae,9,290.51,526.98,436.67,16892142.82,0,,,,
Nan,9,204.19,459.18,297.1,22743154.42,0,,,,
Phayao,9,233.61,295.92,255.23,26200648.21,0,,,,
Chiang Rai,9,245.63,394.1,290.54,20554196.06,0,,,,
Mae Hong Son,9,328.5,392.37,344.71,13223820.53,0,,,,
Nakhon Sawan,9,169.32,320.39,232.67,7632560.65,0,,,,
Uthai Thani,9,181.64,307.95,245.74,16452835.77,1,,,,
Kamphaeng Phet,9,256.49,454.79,370.65,21066429.12,0,,,,
Tak,9,253.42,460.97,359.56,17552436,0,,,,
Sukhothai,9,196.06,511.82,394.92,16871908.26,0,,,,
Phitsanulok,9,272.74,422.61,333.76,25141199.37,0,,,,
Phichit,9,216.29,343.03,309.09,28664263.22,0,,,,
Phetchabun,9,197.12,340.58,302.57,20605875.71,0,,,,
Ratchaburi,9,121.91,250.18,160.42,33572250.57,0,,,,
Kanchanaburi,9,102.61,422.67,254.02,26726127.71,0,,,,
Suphan Buri,9,125.56,245.46,173.79,5618383.53,0,,,,
Phetchaburi,9,63.05,223.95,132.86,7263070.95,0,,,,
Prachuap Khiri Khan,9,57.44,233.79,102.54,49348897.52,0,,,,
Nakhon Si Thammarat,9,106.26,335.58,187.93,32041150.66,0,,,,
Krabi,9,220.13,525.19,334.6,52404960.23,0,,,,
Phang Nga,9,401.46,1084.4,737.52,33275572.12,0,,,,
Phuket,9,374.29,500.91,432.4,10355271.89,0,,,,
Surat Thani,9,71.86,800.08,291.77,28894275.72,0,,,,
Ranong,9,234.05,908.8,579.81,16694201.37,0,,,,
Chumphon,9,183.23,854.98,333.95,45488917.1,0,,,,
Songkhla,9,161.26,349.33,230.97,32478516.22,0,,,,
Satun,9,263.4,463.93,363.86,31545130.42,0,,,,
Trang,9,238.14,498.77,393.98,29424386.51,0,,,,
Phatthalung,9,155.86,396.22,231.39,26289445.11,0,,,,
Pattani,9,143.75,267.62,216.23,7694062.52,0,,,,
Yala,9,134.78,246.88,196.91,15713876.02,0,,,,
Narathiwat,9,174.47,295.49,250.53,22184404.17,0,,,,
Lopburi,10,99.8,311.58,196.56,8722670.03,0,,,,
Chainat,10,90.13,179.19,140.1,23682656.7,0,,,,
Saraburi,10,107.46,227.1,155.04,2923294.87,0,,,,
Chonburi,10,141.79,319.44,214.53,11319017.89,0,,,,
Rayong,10,219.27,339.04,267.31,15922802.72,1,,,,
Chanthaburi,10,239.13,477.59,331.32,18460418.16,1,,,,
Chachoengsao,10,163.47,282.58,203.9,9174664.91,1,,,,
Prachinburi,10,169.45,312.93,204.76,21851777.16,0,,,,
Nakhon Nayok,10,159.62,210.57,184.89,11773961.86,1,,,,
Sa Kaeo,10,164.22,338.14,239.09,37193369.19,1,,,,
Nakhon Ratchasima,10,112.75,380.15,235.81,22767984.2,1,,,,
Buriram,10,100.56,250.48,162.12,14055806.19,0,,,,
Surin,10,93,141.51,117.86,13958581.75,1,,,,
Sisaket,10,75.39,175.3,149.83,14810896.18,1,,,,
Ubon Ratchathani,10,93.9,180.74,140.93,20630426.33,0,,,,
Yasothon,10,37.64,149.88,74.98,6286209.15,1,,,,
Chaiyaphum,10,106.32,232.22,163.58,29713290.43,1,,,,
Bueng Kan,10,142.67,325.08,240.91,70155.12,0,,,,
Nong Bua Lamphu,10,133.16,237.49,163.91,30419695.72,0,,,,
Khon Kaen,10,126.8,206.28,159.46,16875137.96,1,,,,
Udon Thani,10,59.77,217.46,120.04,17186879.75,0,,,,
Loei,10,159.32,327.52,235.41,13529579.56,1,,,,
Nong Khai,10,50.22,273.39,125.47,21599891.95,0,,,,
Maha Sarakham,10,94.31,194.37,141.29,13016655.59,0,,,,
Roi Et,10,43.86,107.43,84.23,14669883.22,0,,,,
Kalasin,10,66.3,167.99,108.31,11208279.07,0,,,,
Sakon Nakhon,10,68.46,242.4,107.54,86.5,0,,,,
Chiang Mai,10,156.1,400.58,245.99,20264146.45,0,,,,
Lamphun,10,183.42,347.35,254.98,5004568.22,1,,,,
Lampang,10,182.48,368.79,255.78,8599406.57,0,,,,
Uttaradit,10,136.71,312.18,251.08,16085958.93,0,,,,
Phrae,10,131,315,217.06,16892142.82,0,,,,
Nan,10,73.07,216.52,133.13,22743154.42,0,,,,
Phayao,10,126.3,255.97,188.7,26200648.21,0,,,,
Chiang Rai,10,131.03,288.95,196.78,20554196.06,0,,,,
Mae Hong Son,10,140.1,267.87,191.55,13223820.53,0,,,,
Nakhon Sawan,10,125.14,337.49,199,7632560.65,0,,,,
Uthai Thani,10,155.22,241.84,182.14,16452835.77,0,,,,
Kamphaeng Phet,10,175.71,364.29,254.89,21066429.12,0,,,,
Tak,10,170.24,431.29,278.97,17552436,0,,,,
Sukhothai,10,151.58,349.23,279.11,16871908.26,0,,,,
Phitsanulok,10,197.37,320.38,266.26,25141199.37,0,,,,
Phichit,10,177.57,282.63,231.66,28664263.22,0,,,,
Phetchabun,10,151.72,246.25,197.24,20605875.71,1,,,,
Ratchaburi,10,148.4,210.37,179.78,33572250.57,1,,,,
Kanchanaburi,10,154.16,297.69,235.09,26726127.71,0,,,,
Suphan Buri,10,99.45,234.82,154.99,5618383.53,0,,,,
Phetchaburi,10,92.81,197.71,164.17,7263070.95,1,,,,
Prachuap Khiri Khan,10,29.52,198.38,131.94,49348897.52,1,,,,
Nakhon Si Thammarat,10,188.53,342.1,269.57,32041150.66,1,,,,
Krabi,10,66.37,311.76,170.66,52404960.23,1,,,,
Phang Nga,10,192.34,344.86,272.17,33275572.12,0,,,,
Phuket,10,187.15,275.93,235.91,10355271.89,0,,,,
Surat Thani,10,148.98,289.76,230.56,28894275.72,1,,,,
Ranong,10,187.74,331.46,269.12,16694201.37,0,,,,
Chumphon,10,164.1,321.59,212.18,45488917.1,1,,,,
Songkhla,10,134.81,283.69,214.7,32478516.22,0,,,,
Satun,10,220.13,393.45,286.18,31545130.42,1,,,,
Trang,10,164.01,260.39,201.8,29424386.51,0,,,,
Phatthalung,10,189.25,249.51,218.63,26289445.11,1,,,,
Pattani,10,90.52,356.68,238.97,7694062.52,0,,,,
Yala,10,164.74,371.67,267.09,15713876.02,0,,,,
Narathiwat,10,24.63,294.72,131.04,22184404.17,0,,,,
Lopburi,11,25.42,91.55,51.01,8722670.03,0,,,,
Chainat,11,65.16,107.99,81.79,23682656.7,0,,,,
Saraburi,11,26.8,111.58,63.81,2923294.87,0,,,,
Chonburi,11,19.26,129.96,52.5,11319017.89,0,,,,
Rayong,11,34.37,129.74,59.3,15922802.72,0,,,,
Chanthaburi,11,39.9,73.15,58.62,18460418.16,0,,,,
Chachoengsao,11,38.67,93.93,64.91,9174664.91,0,,,,
Prachinburi,11,28.8,58.3,37.88,21851777.16,0,,,,
Nakhon Nayok,11,30.1,59.97,46.02,11773961.86,0,,,,
Sa Kaeo,11,38.54,56.44,46.83,37193369.19,0,,,,
Nakhon Ratchasima,11,2.39,50.23,30.46,22767984.2,0,,,,
Buriram,11,3.7,99.71,48.01,14055806.19,0,,,,
Surin,11,16.95,108.97,57.69,13958581.75,0,,,,
Sisaket,11,3.7,52.78,20.85,14810896.18,1,,,,
Ubon Ratchathani,11,5.12,27.9,11.38,20630426.33,0,,,,
Yasothon,11,2,9.42,4.75,6286209.15,0,,,,
Chaiyaphum,11,0.7,28.28,8.12,29713290.43,1,,,,
Bueng Kan,11,0,0.26,0.06,70155.12,0,,,,
Nong Bua Lamphu,11,0.2,1.7,0.82,30419695.72,0,,,,
Khon Kaen,11,0,7.69,1.53,16875137.96,1,,,,
Udon Thani,11,0.12,2.12,1.12,17186879.75,0,,,,
Loei,11,1.01,6.46,2.16,13529579.56,0,,,,
Nong Khai,11,0,1.57,0.41,21599891.95,0,,,,
Maha Sarakham,11,0.61,31.5,6.2,13016655.59,0,,,,
Roi Et,11,0.22,34.26,7.65,14669883.22,0,,,,
Kalasin,11,0.43,4.6,2.28,11208279.07,0,,,,
Sakon Nakhon,11,0,1.13,0.28,86.5,0,,,,
Chiang Mai,11,1,94.59,20.19,20264146.45,0,,,,
Lamphun,11,0,25.45,13.5,5004568.22,0,,,,
Lampang,11,9.35,29.7,18.22,8599406.57,0,,,,
Uttaradit,11,0.3,12.59,3.61,16085958.93,0,,,,
Phrae,11,0.2,26.37,7.31,16892142.82,0,,,,
Nan,11,0.52,7.78,4.34,22743154.42,0,,,,
Phayao,11,4.22,19.6,10.78,26200648.21,0,,,,
Chiang Rai,11,0.8,47.05,11.45,20554196.06,0,,,,
Mae Hong Son,11,3.2,37.76,12.57,13223820.53,0,,,,
Nakhon Sawan,11,18.31,92.55,39.88,7632560.65,0,,,,
Uthai Thani,11,24.58,73.73,53.68,16452835.77,0,,,,
Kamphaeng Phet,11,14.75,47.1,32.49,21066429.12,0,,,,
Tak,11,4,42.93,14.96,17552436,0,,,,
Sukhothai,11,2.49,26.77,12.49,16871908.26,0,,,,
Phitsanulok,11,2.11,38.61,13.21,25141199.37,0,,,,
Phichit,11,20.35,42.8,33.41,28664263.22,0,,,,
Phetchabun,11,1.3,37.89,14.25,20605875.71,0,,,,
Ratchaburi,11,45.79,115.28,78.29,33572250.57,0,,,,
Kanchanaburi,11,20.23,62.08,42.29,26726127.71,0,,,,
Suphan Buri,11,37.31,88.87,57.49,5618383.53,0,,,,
Phetchaburi,11,29.64,94.96,50,7263070.95,0,,,,
Prachuap Khiri Khan,11,28.21,355.33,111.07,49348897.52,0,,,,
Nakhon Si Thammarat,11,249.1,974.91,620.51,32041150.66,1,,,,
Krabi,11,89.02,324.11,178.54,52404960.23,1,,,,
Phang Nga,11,115.6,312.07,203.63,33275572.12,0,,,,
Phuket,11,111.42,127.25,119.6,10355271.89,0,,,,
Surat Thani,11,201.49,549.68,329.69,28894275.72,0,,,,
Ranong,11,277.27,410.44,356.18,16694201.37,0,,,,
Chumphon,11,327.31,423.29,384.03,45488917.1,0,,,,
Songkhla,11,342.12,748.64,547.3,32478516.22,0,,,,
Satun,11,310.44,524.18,400.28,31545130.42,0,,,,
Trang,11,145.46,577.05,291.12,29424386.51,0,,,,
Phatthalung,11,344.1,728.62,605.4,26289445.11,1,,,,
Pattani,11,533.64,702.18,598.75,7694062.52,0,,,,
Yala,11,500.06,651.74,561.86,15713876.02,1,,,,
Narathiwat,11,568.43,749.48,668.87,22184404.17,0,,,,
Lopburi,12,0,17.8,2.76,8722670.03,0,,,,
Chainat,12,0.18,4.44,1.88,23682656.7,0,,,,
Saraburi,12,1.25,35.76,15.56,2923294.87,0,,,,
Chonburi,12,4.47,24.44,11.86,11319017.89,0,,,,
Rayong,12,5.03,40.83,15.94,15922802.72,0,,,,
Chanthaburi,12,0,9.5,2.32,18460418.16,0,,,,
Chachoengsao,12,3.27,17.79,7.25,9174664.91,0,,,,
Prachinburi,12,1.8,13.79,9.22,21851777.16,0,,,,
Nakhon Nayok,12,5.6,27.48,14.83,11773961.86,0,,,,
Sa Kaeo,12,0.2,8.5,4.99,37193369.19,0,,,,
Nakhon Ratchasima,12,0,10.85,2.92,22767984.2,0,,,,
Buriram,12,0,5.06,1.42,14055806.19,0,,,,
Surin,12,0,1.51,0.1,13958581.75,0,,,,
Sisaket,12,0,0.06,0.02,14810896.18,0,,,,
Ubon Ratchathani,12,0,0.2,0.07,20630426.33,0,,,,
Yasothon,12,0,0.02,0,6286209.15,0,,,,
Chaiyaphum,12,0,1.53,0.18,29713290.43,0,,,,
Bueng Kan,12,0,0.08,0.02,70155.12,0,,,,
Nong Bua Lamphu,12,0,0.14,0.06,30419695.72,0,,,,
Khon Kaen,12,0,0.59,0.05,16875137.96,0,,,,
Udon Thani,12,0,0.5,0.2,17186879.75,0,,,,
Loei,12,0,0.39,0.04,13529579.56,0,,,,
Nong Khai,12,0.03,0.35,0.12,21599891.95,0,,,,
Maha Sarakham,12,0,0,0,13016655.59,0,,,,
Roi Et,12,0,0,0,14669883.22,0,,,,
Kalasin,12,0,0.13,0.01,11208279.07,0,,,,
Sakon Nakhon,12,0,0.22,0.05,86.5,0,,,,
Chiang Mai,12,0.01,24.9,5.15,20264146.45,0,,,,
Lamphun,12,0.04,1.41,0.41,5004568.22,0,,,,
Lampang,12,0,22.63,3.63,8599406.57,0,,,,
Uttaradit,12,0.01,3.41,0.73,16085958.93,0,,,,
Phrae,12,0,10.12,1.5,16892142.82,0,,,,
Nan,12,0.01,7.39,3.54,22743154.42,0,,,,
Phayao,12,3.06,25.29,13.16,26200648.21,0,,,,
Chiang Rai,12,5.05,18.32,9.87,20554196.06,0,,,,
Mae Hong Son,12,0.84,11,4.4,13223820.53,0,,,,
Nakhon Sawan,12,0,3.58,1.01,7632560.65,0,,,,
Uthai Thani,12,0,4.99,1.33,16452835.77,0,,,,
Kamphaeng Phet,12,1.11,6.2,3.36,21066429.12,0,,,,
Tak,12,0,2.68,0.74,17552436,0,,,,
Sukhothai,12,0,2.82,0.32,16871908.26,0,,,,
Phitsanulok,12,0,4.41,0.74,25141199.37,0,,,,
Phichit,12,0.68,5.1,3.05,28664263.22,0,,,,
Phetchabun,12,0,1.92,0.22,20605875.71,0,,,,
Ratchaburi,12,8.68,40.69,17,33572250.57,0,,,,
Kanchanaburi,12,0,38.1,9.58,26726127.71,0,,,,
Suphan Buri,12,2.3,33.94,9.77,5618383.53,0,,,,
Phetchaburi,12,0,14.13,5.94,7263070.95,0,,,,
Prachuap Khiri Khan,12,0.51,156.49,54.92,49348897.52,0,,,,
Nakhon Si Thammarat,12,0.07,369.66,195.08,32041150.66,0,,,,
Krabi,12,30.01,78.69,44.32,52404960.23,0,,,,
Phang Nga,12,48.99,76.86,65.12,33275572.12,0,,,,
Phuket,12,56.5,62.29,59.2,10355271.89,0,,,,
Surat Thani,12,28.13,155.27,84.87,28894275.72,0,,,,
Ranong,12,11.84,172.11,81.24,16694201.37,0,,,,
Chumphon,12,22.93,209.6,139.11,45488917.1,1,,,,
Songkhla,12,170.38,498.77,315.06,32478516.22,0,,,,
Satun,12,87.34,280.15,184.32,31545130.42,0,,,,
Trang,12,51,282.7,143.7,29424386.51,0,,,,
Phatthalung,12,183.85,456.92,343.61,26289445.11,1,,,,
Pattani,12,336.71,714.23,477.25,7694062.52,0,,,,
Yala,12,374.57,651.32,543.95,15713876.02,0,,,,
Narathiwat,12,578.31,791.26,670.66,22184404.17,0,,,,
Lopburi,1,0,3.1,0.75,8722670.03,0,,,,
Chainat,1,2.3,10.8,4.69,23682656.7,0,,,,
Saraburi,1,0,6.3,2.23,2923294.87,0,,,,
Chonburi,1,0,44.9,5.59,11319017.89,0,,,,
Rayong,1,0,12.6,4.06,15922802.72,0,,,,
Chanthaburi,1,0,3.8,0.34,18460418.16,0,,,,
Chachoengsao,1,0,0.8,0.13,9174664.91,0,,,,
Prachinburi,1,0,4,0.43,21851777.16,0,,,,
Nakhon Nayok,1,0.3,5.4,1.67,11773961.86,0,,,,
Sa Kaeo,1,0,0,0,37193369.19,0,,,,
Nakhon Ratchasima,1,0,7,0.85,22767984.2,0,,,,
Buriram,1,0,0.2,0,14055806.19,0,,,,
Surin,1,0,0,0,13958581.75,0,,,,
Sisaket,1,0,0,0,14810896.18,0,,,,
Ubon Ratchathani,1,0,0,0,20630426.33,0,,,,
Yasothon,1,0,0.1,0.01,6286209.15,0,,,,
Chaiyaphum,1,0,4.1,0.63,29713290.43,0,,,,
Bueng Kan,1,1.7,8.7,4.68,70155.12,0,,,,
Nong Bua Lamphu,1,3.7,22.4,13.59,30419695.72,0,,,,
Khon Kaen,1,0,14,2.58,16875137.96,0,,,,
Udon Thani,1,0.1,21.6,10.49,17186879.75,0,,,,
Loei,1,0.4,11.5,2.8,13529579.56,0,,,,
Nong Khai,1,7.5,11.9,8.96,21599891.95,0,,,,
Maha Sarakham,1,0,0.9,0.03,13016655.59,0,,,,
Roi Et,1,0,0.1,0.01,14669883.22,0,,,,
Kalasin,1,0,6.8,0.4,11208279.07,0,,,,
Sakon Nakhon,1,0.1,9.7,2.6,86.5,0,,,,
Chiang Mai,1,0,9.2,2.69,20264146.45,0,,,,
Lamphun,1,0.6,8.9,3.36,5004568.22,0,,,,
Lampang,1,1.2,8.8,3.22,8599406.57,0,,,,
Uttaradit,1,2.3,8.9,4.99,16085958.93,0,,,,
Phrae,1,2.5,8.7,5.36,16892142.82,0,,,,
Nan,1,4,15.5,8.1,22743154.42,0,,,,
Phayao,1,1.2,8.1,4.26,26200648.21,0,,,,
Chiang Rai,1,0,7.8,3.48,20554196.06,0,,,,
Mae Hong Son,1,1.6,6.1,2.38,13223820.53,0,,,,
Nakhon Sawan,1,0,34.1,12.41,7632560.65,0,,,,
Uthai Thani,1,5.4,30.5,14.28,16452835.77,0,,,,
Kamphaeng Phet,1,1.1,35.4,9.93,21066429.12,0,,,,
Tak,1,2.9,44.2,15.79,17552436,0,,,,
Sukhothai,1,3.6,10.1,6.66,16871908.26,0,,,,
Phitsanulok,1,0.5,8.4,2.77,25141199.37,0,,,,
Phichit,1,2.7,15,5.81,28664263.22,0,,,,
Phetchabun,1,0,5.3,0.85,20605875.71,0,,,,
Ratchaburi,1,0.5,6.1,2.85,33572250.57,0,,,,
Kanchanaburi,1,0.8,27.3,5.73,26726127.71,0,,,,
Suphan Buri,1,1.7,12.1,3.73,5618383.53,0,,,,
Phetchaburi,1,2.6,13.7,8.83,7263070.95,0,,,,
Prachuap Khiri Khan,1,12.7,97.4,33.75,49348897.52,0,,,,
Nakhon Si Thammarat,1,10,180.1,88.63,32041150.66,0,,,,
Krabi,1,1.4,27,8.77,52404960.23,0,,,,
Phang Nga,1,11.3,36.9,22.58,33275572.12,0,,,,
Phuket,1,11,19.4,15.89,10355271.89,0,,,,
Surat Thani,1,2,160.2,25.73,28894275.72,0,,,,
Ranong,1,4.5,107.6,45.14,16694201.37,0,,,,
Chumphon,1,14.4,118.8,87.68,45488917.1,0,,,,
Songkhla,1,27.8,117,70.85,32478516.22,0,,,,
Satun,1,0.4,61.4,31.81,31545130.42,0,,,,
Trang,1,8.4,85.5,31.33,29424386.51,0,,,,
Phatthalung,1,42.4,115.2,87.63,26289445.11,0,,,,
Pattani,1,62.3,121.8,88.36,7694062.52,0,,,,
Yala,1,72.2,116.9,100.58,15713876.02,0,,,,
Narathiwat,1,104.6,131.5,116.93,22184404.17,0,,,,
Lopburi,2,0,21.96,3.6,8722670.03,0,,,,
Chainat,2,0,6.68,2.54,23682656.7,0,,,,
Saraburi,2,0,44.5,14.36,2923294.87,0,,,,
Chonburi,2,0.57,30.56,10.69,11319017.89,0,,,,
Rayong,2,11.73,52.44,29.47,15922802.72,0,,,,
Chanthaburi,2,22.46,77.1,52.86,18460418.16,0,,,,
Chachoengsao,2,1.6,35.4,13.72,9174664.91,0,,,,
Prachinburi,2,0.5,43.18,21.13,21851777.16,0,,,,
Nakhon Nayok,2,1.2,30.29,6.91,11773961.86,0,,,,
Sa Kaeo,2,0,33.52,16.04,37193369.19,0,,,,
Nakhon Ratchasima,2,0,51.68,7.64,22767984.2,0,,,,
Buriram,2,0,11.94,2.27,14055806.19,0,,,,
Surin,2,0,4.04,1.61,13958581.75,0,,,,
Sisaket,2,1.99,6.7,4.14,14810896.18,0,,,,
Ubon Ratchathani,2,2.1,6.33,3.48,20630426.33,0,,,,
Yasothon,2,0,7.4,3.39,6286209.15,0,,,,
Chaiyaphum,2,0,5.85,1.31,29713290.43,0,,,,
Bueng Kan,2,3.03,3.9,3.5,70155.12,0,,,,
Nong Bua Lamphu,2,0.1,0.87,0.3,30419695.72,0,,,,
Khon Kaen,2,0,1.13,0.41,16875137.96,0,,,,
Udon Thani,2,0.14,3.02,1.16,17186879.75,0,,,,
Loei,2,0.1,2.52,0.55,13529579.56,0,,,,
Nong Khai,2,0.81,3.56,2.38,21599891.95,0,,,,
Maha Sarakham,2,0.24,1.27,0.54,13016655.59,0,,,,
Roi Et,2,0,5.51,1.31,14669883.22,0,,,,
Kalasin,2,0.44,5.06,1.73,11208279.07,0,,,,
Sakon Nakhon,2,1.52,4.49,3.29,86.5,0,,,,
Chiang Mai,2,0,8.23,1.9,20264146.45,0,,,,
Lamphun,2,1.25,10.4,4.49,5004568.22,0,,,,
Lampang,2,0,4.5,1.91,8599406.57,0,,,,
Uttaradit,2,0,5.31,0.76,16085958.93,0,,,,
Phrae,2,0,3.96,0.55,16892142.82,0,,,,
Nan,2,0,0.47,0,22743154.42,0,,,,
Phayao,2,0,0.41,0.01,26200648.21,0,,,,
Chiang Rai,2,0,2.22,0.17,20554196.06,0,,,,
Mae Hong Son,2,0,2.18,0.7,13223820.53,0,,,,
Nakhon Sawan,2,0,6.22,3.08,7632560.65,0,,,,
Uthai Thani,2,0.83,7.2,3.32,16452835.77,0,,,,
Kamphaeng Phet,2,0.07,3.55,0.89,21066429.12,0,,,,
Tak,2,0,3.08,0.61,17552436,0,,,,
Sukhothai,2,0.01,8.08,2.68,16871908.26,0,,,,
Phitsanulok,2,0,5.68,1.26,25141199.37,0,,,,
Phichit,2,0,3.83,1.18,28664263.22,0,,,,
Phetchabun,2,0,5,2.18,20605875.71,0,,,,
Ratchaburi,2,0.6,8.96,1.95,33572250.57,0,,,,
Kanchanaburi,2,0,5.85,0.75,26726127.71,0,,,,
Suphan Buri,2,0,5.11,1.18,5618383.53,0,,,,
Phetchaburi,2,1.25,7.2,4.25,7263070.95,0,,,,
Prachuap Khiri Khan,2,4.7,38.7,15.39,49348897.52,0,,,,
Nakhon Si Thammarat,2,4.43,48.19,20.69,32041150.66,0,,,,
Krabi,2,0,13.34,3.83,52404960.23,0,,,,
Phang Nga,2,1.2,20.79,11.9,33275572.12,0,,,,
Phuket,2,0.3,1.94,1.04,10355271.89,0,,,,
Surat Thani,2,2.2,32.39,11.49,28894275.72,0,,,,
Ranong,2,15.63,46.88,28.59,16694201.37,0,,,,
Chumphon,2,22.56,51.9,38.39,45488917.1,0,,,,
Songkhla,2,0,29.67,7.39,32478516.22,0,,,,
Satun,2,0,9.29,3.86,31545130.42,0,,,,
Trang,2,0,18.07,4.88,29424386.51,0,,,,
Phatthalung,2,7.12,31.19,18.93,26289445.11,0,,,,
Pattani,2,1.5,9.14,4.85,7694062.52,0,,,,
Yala,2,4.46,8.17,6.69,15713876.02,0,,,,
Narathiwat,2,7.23,10.3,8.55,22184404.17,0,,,,
Lopburi,3,7.83,75.1,49.06,8722670.03,0,,,,
Chainat,3,19.81,54.64,34.52,23682656.7,0,,,,
Saraburi,3,18.59,66.03,40.02,2923294.87,0,,,,
Chonburi,3,10.67,161.39,68.74,11319017.89,0,,,,
Rayong,3,41.46,118.3,81.78,15922802.72,0,,,,
Chanthaburi,3,68.35,217.88,119.14,18460418.16,0,,,,
Chachoengsao,3,17.73,184.65,96.2,9174664.91,0,,,,
Prachinburi,3,8.76,106.6,59.92,21851777.16,0,,,,
Nakhon Nayok,3,19.79,102.47,57.55,11773961.86,0,,,,
Sa Kaeo,3,13.41,94.11,53.69,37193369.19,0,,,,
Nakhon Ratchasima,3,31.41,132.32,70.74,22767984.2,0,,,,
Buriram,3,17.29,190.63,109.1,14055806.19,0,,,,
Surin,3,9.56,173.09,50.1,13958581.75,0,,,,
Sisaket,3,0.3,46.19,12.6,14810896.18,0,,,,
Ubon Ratchathani,3,0,34.89,9.89,20630426.33,0,,,,
Yasothon,3,8.07,62.02,28.68,6286209.15,0,,,,
Chaiyaphum,3,28.8,73.45,47.14,29713290.43,0,,,,
Bueng Kan,3,55.03,73.75,67.03,70155.12,0,,,,
Nong Bua Lamphu,3,46.27,90.92,64.5,30419695.72,0,,,,
Khon Kaen,3,30.33,84.47,46.82,16875137.96,0,,,,
Udon Thani,3,43.26,96.92,73.38,17186879.75,0,,,,
Loei,3,46.91,122.86,84.61,13529579.56,0,,,,
Nong Khai,3,71.14,98.8,86.03,21599891.95,0,,,,
Maha Sarakham,3,33.68,137.71,71.05,13016655.59,0,,,,
Roi Et,3,13.31,113.35,71.87,14669883.22,0,,,,
Kalasin,3,43.15,80.91,57.02,11208279.07,0,,,,
Sakon Nakhon,3,25.38,72.78,54.12,86.5,0,,,,
Chiang Mai,3,2.68,52.3,16.9,20264146.45,0,,,,
Lamphun,3,0.2,46.91,18.23,5004568.22,0,,,,
Lampang,3,10.45,60.29,22.81,8599406.57,0,,,,
Uttaradit,3,23.31,61.01,42.1,16085958.93,0,,,,
Phrae,3,15.69,52.36,24.91,16892142.82,0,,,,
Nan,3,13.2,31.23,18.94,22743154.42,0,,,,
Phayao,3,15.56,21.95,17.3,26200648.21,0,,,,
Chiang Rai,3,4.31,32.58,18.36,20554196.06,0,,,,
Mae Hong Son,3,0,23.6,6.67,13223820.53,0,,,,
Nakhon Sawan,3,0.8,101.48,57.14,7632560.65,0,,,,
Uthai Thani,3,23.11,78.34,49.11,16452835.77,0,,,,
